question,example_answer,pred_answer,answer_exact_match,reasoning
"Jackson is buying school supplies for his third grade class, which has 30 students. Each student needs 5 pens, 3 notebooks, 1 binder and 2 highlighters. Pens cost $0.50, notebooks cost $1.25, binders cost $4.25, and highlighters cost $0.75. If Jackson gets a $100 teacher discount, how much does he spend on school supplies?",260,260,True,"To calculate the total cost of school supplies, we first find the cost of each item per student:
- Pens: 5 pens * $0.50 = $2.50
- Notebooks: 3 notebooks * $1.25 = $3.75
- Binder: 1 binder * $4.25 = $4.25
- Highlighters: 2 highlighters * $0.75 = $1.50
The total cost per student is $2.50 + $3.75 + $4.25 + $1.50 = $12.00
For 30 students, the total cost without the discount would be 30 students * $12.00 = $360.00
After applying the $100 teacher discount, the total amount spent by Jackson on school supplies is $360.00 - $100.00 = $260.00"
"Sean buys 3 cans of soda, 2 soups, and 1 sandwich.  Each soup cost as much as the 3 combined sodas.  The sandwich cost 3 times as much as the soup.  If the soda cost $1 how much did everything cost together?",18,18,True,"Let's denote the cost of one soda as $1. 
- Each soup costs as much as the 3 combined sodas, so each soup costs 3 * $1 = $3.
- The sandwich costs 3 times as much as the soup, so the sandwich costs 3 * $3 = $9.
- The total cost of the 3 sodas is 3 * $1 = $3.
- The total cost of the 2 soups is 2 * $3 = $6.
- The total cost of the 1 sandwich is $9.
- Therefore, the total cost of everything together is $3 + $6 + $9 = $18."
"Jackie walks 2 miles each day while Jessie walks 1.5 miles each day. How many more miles, in all, does Jackie walk than Jessie walk in 6 days?",3,3,True,"In one day, Jackie walks 2 miles and Jessie walks 1.5 miles. The difference in the distance they walk each day is 2 - 1.5 = 0.5 miles. In 6 days, the difference in the distance Jackie walks compared to Jessie is 6 days * 0.5 miles/day = 3 miles."
"Sally bought 3 photograph frames, each costing her $3. She paid with a $20 bill. How much change did she get?",11,11,True,"Sally bought 3 photograph frames, each costing $3. Therefore, the total cost of the frames is 3 frames * $3/frame = $9. Sally paid with a $20 bill. To find out how much change she received, we subtract the total cost from the amount paid: $20 - $9 = $11."
"A pack of dogs found a pile of bones in the dumpster behind the butcher shop.  One by one, the dogs crawled into the dumpster, grabbed a mouthful of bones, and ran off with their newfound treasure.  In all, there were 5 dogs.  The first dog carried off 3 bones.  The second dog carried off 1 less bone than the first dog.  The third dog carried off twice as many as the second dog.  The fourth dog carried off one bone, and the fifth dog carried off twice the number of bones as the fourth dog carried, leaving no remaining bones in the dumpster.  How many bones were in the original pile of bones?",12,12,True,"Let's calculate the number of bones each dog took:
- First dog: 3 bones
- Second dog: 3 - 1 = 2 bones
- Third dog: 2 * 2 = 4 bones
- Fourth dog: 1 bone
- Fifth dog: 1 * 2 = 2 bones

Adding up the bones taken by each dog: 3 + 2 + 4 + 1 + 2 = 12 bones

Therefore, the original pile of bones in the dumpster was 12 bones."
"My age is five times that of my son. Next year, my son will be eight years old. How old am I now?",35,35,True,"If your son will be eight years old next year, then currently he is 8 - 1 = 7 years old. Since your age is five times that of your son, you are 5 * 7 = 35 years old."
"Mitzi brought $75 to the amusement park. She spent $30 on a ticket, $13 on food, and $23 on a T-shirt. How much money does she have left?",9,9,True,"To find out how much money Mitzi has left, we need to subtract the total amount she spent from the amount she brought to the amusement park. Mitzi spent $30 on a ticket, $13 on food, and $23 on a T-shirt, which totals $30 + $13 + $23 = $66. Therefore, the amount of money she has left is $75 - $66 = $9."
"The owner of a Turkish restaurant wanted to prepare traditional dishes for an upcoming celebration. She ordered ground beef, in four-pound packages, from three different butchers. The following morning, the first butcher delivered 10 packages. A couple of hours later, 7 packages arrived from the second butcher. Finally, the third butcher’s delivery arrived at dusk. If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the third butcher deliver?",8,8,True,"Let's denote the number of packages delivered by the third butcher as x. From the information given, we know that:
- The first butcher delivered 10 packages, each weighing 4 pounds, so 10 * 4 = 40 pounds.
- The second butcher delivered 7 packages, each weighing 4 pounds, so 7 * 4 = 28 pounds.
- The total weight of ground beef delivered by the three butchers is 100 pounds.
Therefore, the weight of the ground beef delivered by the third butcher is 100 - (40 + 28) = 32 pounds. Since each package weighs 4 pounds, the number of packages delivered by the third butcher is 32 / 4 = 8 packages."
"Jake can wash his car with 1 bottle of car wash soap 4 times.  If each bottle costs $4.00, and he washes his car once a week for 20 weeks, how much does he spend on car soap?",20,$20.00,False,"If Jake can wash his car 4 times with 1 bottle of car wash soap, then for 20 weeks, he would need 20 / 4 = 5 bottles of car wash soap. Since each bottle costs $4.00, the total amount he spends on car soap is 5 * $4.00 = $20.00."
"Karen had the giant box of crayons, containing twice as many crayons as were in Beatrice's box. But Beatrice's box contained twice as many crayons as were in Gilbert's box of crayons. And Gilbert had four times as many crayons as were in Judah's box of crayons. If Karen's box contained 128 crayons, how many crayons were in Judah's box?",8,8,True,"Let's denote the number of crayons in Judah's box as J. Given the relationships:
- Gilbert's box = 4J
- Beatrice's box = 2 * 4J = 8J
- Karen's box = 2 * 8J = 16J

Given that Karen's box contained 128 crayons, we can set up the equation:
16J = 128
Solving for J:
J = 128 / 16
J = 8

Therefore, Judah's box contained 8 crayons."
"Isabelle gets a job so she can save enough money to go to a concert with her two brothers. Her ticket costs $20. Her brothers both get the children’s discount, and each of their tickets cost $10. Her brothers have saved $5 between the two of them and Isabelle has saved $5. If her job pays $3 per week, how many weeks must she work to afford the tickets?",10,10,True,"The total cost of the tickets for Isabelle and her two brothers is:
Isabelle's ticket: $20
Brother 1's ticket: $10
Brother 2's ticket: $10
Total cost: $20 + $10 + $10 = $40

The total amount saved by Isabelle and her brothers is:
Isabelle: $5
Brothers: $5
Total saved: $5 + $5 = $10

The amount Isabelle needs to earn from her job is:
Total cost - Total saved = $40 - $10 = $30

If Isabelle earns $3 per week, she will need to work:
$30 / $3 = 10 weeks"
Jackie loves to climb trees.  She climbed a 1000 foot tall tree.  Then she climbed 2 trees that were half as tall as the first tree.  She finished by climbing a tree that was 200 feet taller than her first tree.  What was the average height of the trees that Jackie climbed?,800,800,True,"Jackie climbed a 1000-foot tall tree, then two trees that were half as tall (500 feet each), and finally a tree that was 200 feet taller than the first tree (1200 feet). To find the average height of the trees she climbed, we sum the heights of all the trees and divide by the total number of trees:
(1000 + 500 + 500 + 1200) / 4 = 3200 / 4 = 800 feet"
Miss Darlington has a basket of 20 blueberries. She picked 9 more baskets with the same amount of berries. How many blueberries did Miss Darlington have in all?,200,200,True,"If Miss Darlington has 20 blueberries in one basket and she picked 9 more baskets with the same amount of berries, then the total number of blueberries she has is:
20 blueberries/basket * 10 baskets = 200 blueberries"
"At a certain school, 2/3 of the population are females. One-tenth of the males are foreign students. If the school has 300 students, how many students are non-foreign male students?",90,90,True,"If 2/3 of the population are females, then 1/3 are males. Since the school has 300 students, the number of males is 1/3 * 300 = 100. One-tenth of the males are foreign students, which means there are 1/10 * 100 = 10 foreign male students. Therefore, the number of non-foreign male students is 100 - 10 = 90."
"The average GPA for 6th graders is 93, the 7th graders is 2 more than the 6th graders and the 8th graders average GPA is 91.  What is the average GPA for the school?",93,93,True,"Let's denote the average GPA for 6th graders as x. Then, the average GPA for 7th graders would be x + 2. Given that the average GPA for 8th graders is 91, we can set up the equation:
(x + x + 2 + 91) / 3 = 93
(2x + 93) / 3 = 93
2x + 93 = 279
2x = 186
x = 93

Therefore, the average GPA for the school is the same as the average GPA for the 6th graders, which is 93."
Tonya is in a hamburger eating contest. Each hamburger is 4 ounces. Last year the winner ate 84 ounces. How many hamburgers does she have to eat to beat last year's winner?,22,21,False,"To beat last year's winner who ate 84 ounces, Tonya needs to eat more than 84 ounces. Since each hamburger is 4 ounces, we can calculate the number of hamburgers Tonya needs to eat by dividing the total ounces she needs to beat (84) by the ounces in each hamburger (4): 84 / 4 = 21 hamburgers."
Jackson is buying chairs for his restaurant. He has 6 tables with 4 seats and 12 tables with 6 seats. How many chairs total does Jackson need to buy?,96,96,True,"Jackson has 6 tables with 4 seats each, which means he needs 6 * 4 = 24 chairs for these tables. Additionally, he has 12 tables with 6 seats each, which means he needs 12 * 6 = 72 chairs for these tables. Therefore, the total number of chairs Jackson needs to buy is 24 (from tables with 4 seats) + 72 (from tables with 6 seats) = 96 chairs."
"It takes 15 minutes for Dante to go to Hidden Lake. From Hidden Lake, he has to walk back to the Park Office and it takes him 7 minutes. When he arrives there, he will have been gone from the Park Office 32 minutes altogether. If he had walked to the Lake Park restaurant from the Park office before taking the 15 minute walk to Hidden Lake, how long is the walk from Park Office to the Lake Park restaurant?",10,10,True,"If Dante takes 15 minutes to walk to Hidden Lake and 7 minutes to walk back to the Park Office, he spends a total of 15 + 7 = 22 minutes on these walks. Since he was gone from the Park Office for a total of 32 minutes, the time spent walking to the Lake Park restaurant and back must be 32 - 22 = 10 minutes."
"The math teacher would be happy if the class average test score was at least 85. There are 10 students in the class, 5 of which scored a 92 on the test and 4 of which scored an 80. What would the last student have to score to at least make the teacher happy?",70,70,True,"The total score needed for the class to have an average of 85 is 10 students * 85 points = 850 points. The total points scored by the 9 students who have already taken the test is 5 students * 92 points + 4 students * 80 points = 460 + 320 = 780 points. Therefore, the last student would need to score 850 - 780 = 70 points to at least make the teacher happy."
"Rebecca bought 22 items for her camping trip, including tent stakes, packets of drink mix, and bottles of water.  She bought 3 times as many packets of drink mix as tent stakes.  She also bought 2 more bottles of water than she did tent stakes.  How many tent stakes did she buy?",4,4,True,"Let's denote the number of tent stakes as x. 
- The number of packets of drink mix is 3 times the number of tent stakes, so it is 3x.
- The number of bottles of water is 2 more than the number of tent stakes, so it is x + 2.
The total number of items is the sum of these quantities: x (tent stakes) + 3x (drink mix packets) + (x + 2) (bottles of water) = 22.
Solving this equation, we find:
x + 3x + x + 2 = 22
5x + 2 = 22
5x = 20
x = 4"
"A casino table pays 3:2 if you get a blackjack with your first 2 cards. If you scored a blackjack and were paid $60, what was your original bet?",40,40,True,"In a 3:2 payout for a blackjack, for every 2 units bet, you receive 3 units if you win. If you were paid $60 for a blackjack, this means you received 3 units, which is $60. Therefore, 2 units would be equal to $40. Hence, your original bet was $40."
"Haley has 5 more necklaces than Jason. Josh has half the number of necklaces as Jason. If Haley has 25 necklaces, how many more necklaces does Haley have than Josh?",15,15,True,"If Haley has 25 necklaces and she has 5 more necklaces than Jason, then Jason has 25 - 5 = 20 necklaces. Since Josh has half the number of necklaces as Jason, Josh has 20 / 2 = 10 necklaces. Therefore, Haley has 25 - 10 = 15 more necklaces than Josh."
"Shannon bought 5 pints of frozen yogurt, two packs of chewing gum, and five trays of jumbo shrimp from The Food Place for a total of  $55 If the price of a tray of jumbo shrimp is $5 and a pack of chewing gum costs half as much as a pint of frozen yogurt, what is the price of a pint of frozen yogurt?",5,5,True,"Let the price of a pint of frozen yogurt be x. 
The total cost of 5 pints of frozen yogurt is 5x.
The total cost of 2 packs of chewing gum is 2 * (0.5x) = x.
The total cost of 5 trays of jumbo shrimp is 5 * 5 = 25.

Given that the total cost of all items is $55, we can set up the equation:
5x + x + 25 = 55
6x + 25 = 55
6x = 30
x = 5

Therefore, the price of a pint of frozen yogurt is $5."
"Codger is a three-footed sloth.  He has a challenging time buying shoes because the stores only sell the shoes in pairs. If he already owns the 3-piece set of shoes he is wearing, how many pairs of shoes does he need to buy to have 5 complete 3-piece sets of shoes?",6,8,False,"To have 5 complete 3-piece sets of shoes, Codger needs a total of 5 * 3 = 15 shoes. Since shoes are sold in pairs, Codger needs to buy 15 / 2 = 7.5 pairs of shoes. However, as he can only buy shoes in pairs, he will need to buy 8 pairs of shoes to have 5 complete 3-piece sets."
"Each year a store decreased the price of a certain model of TV by $35. If the price in 2001 was $1950, what was the price in 2009?",1670,1670,True,"If the price of the TV decreased by $35 each year, the total decrease over 8 years (from 2001 to 2009) would be 8 * $35 = $280. To find the price in 2009, we need to subtract this total decrease from the price in 2001:
Price in 2009 = Price in 2001 - Total Decrease
Price in 2009 = $1950 - $280 = $1670"
Jerome is taking a 150-mile bicycle trip. He wants to ride 12 miles for 12 days. How long will he ride on the 13th day to finish his goal?,6,6,True,"If Jerome wants to ride 12 miles for 12 days, he will have covered 12 miles/day * 12 days = 144 miles in total. To complete his 150-mile bicycle trip, he will need to ride the remaining distance on the 13th day. Therefore, on the 13th day, he will ride 150 miles - 144 miles = 6 miles."
"Joanna has $8. Compared to her money, her brother has thrice as much while her sister has only half as much. How much money do the three of them have altogether?",36,36,True,"If Joanna has $8, her brother has 3 times as much, which is 3 * $8 = $24. Her sister has half as much as Joanna, which is $8 / 2 = $4. Therefore, the total amount of money the three of them have altogether is $8 + $24 + $4 = $36."
"Karen is planning writing assignments for her fifth grade class. She knows each short-answer question takes 3 minutes to answer, each paragraph takes 15 minutes to write, and each essay takes an hour to write. If Karen assigns 2 essays and 5 paragraphs, how many short-answer questions should she assign if she wants to assign 4 hours of homework total?",15,15,True,"To calculate the total time for the homework assignment, we need to consider the time taken for each type of question:
2 essays * 1 hour/essay = 2 hours
5 paragraphs * 15 minutes/paragraph = 75 minutes = 1 hour and 15 minutes
Total time for essays and paragraphs = 2 hours + 1 hour 15 minutes = 3 hours 15 minutes
If Karen wants to assign 4 hours of homework in total, then the remaining time for short-answer questions would be 4 hours - 3 hours 15 minutes = 45 minutes.
Since each short-answer question takes 3 minutes to answer, Karen should assign 45 minutes / 3 minutes per question = 15 short-answer questions."
"Macy has a goal of running a total of 24 miles per week. If she runs 3 miles per day, how many miles does Macy have left to run after 6 days so that she could meet her goal?",6,6,True,"If Macy runs 3 miles per day for 6 days, she would have run a total of 3 miles/day * 6 days = 18 miles. To meet her goal of running 24 miles per week, she would have 24 miles - 18 miles = 6 miles left to run after 6 days."
"Leila bought a living room set consisting of a sofa worth $1,250, 2 armchairs costing $425 each and a coffee table. The total amount of the invoice is $2,430. What is the price of the coffee table?",330,330,True,"To find the price of the coffee table, we need to subtract the total cost of the sofa and armchairs from the total amount of the invoice. The total cost of the sofa and armchairs is:
Sofa: $1,250
Armchairs: 2 * $425 = $850
Total cost of sofa and armchairs = $1,250 + $850 = $2,100

Now, to find the price of the coffee table:
Total amount of the invoice = Total cost of sofa, armchairs, and coffee table
$2,430 = $2,100 + Price of the coffee table
Price of the coffee table = $2,430 - $2,100 = $330"
"Milly is figuring out how long she needs to spend studying. She knows that her math homework will take 60 minutes. Her geography homework will take half as long as her math homework, and her science homework will take time equal to the mean amount of time she spent studying math and geography. How many minutes does Milly spend studying?",135,135,True,"If Milly's math homework takes 60 minutes, then her geography homework will take 60 / 2 = 30 minutes. The mean time spent on math and geography is (60 + 30) / 2 = 45 minutes. Therefore, Milly spends a total of 60 (math) + 30 (geography) + 45 (science) = 135 minutes studying."
"Ursula bought five hot dogs at $1.50 each and three salads at $2.50 each. If she had two $10 bills, how much change did she get back?",5,5.00,False,"The total cost of the hot dogs is 5 hot dogs * $1.50 = $7.50.
The total cost of the salads is 3 salads * $2.50 = $7.50.
Therefore, the total cost of the hot dogs and salads is $7.50 + $7.50 = $15.00.
If Ursula paid with two $10 bills, the total amount she paid is $10 + $10 = $20.00.
Therefore, the change she received is $20.00 - $15.00 = $5.00."
"Bob is going to plant corn in part of his garden. The rows are 120 feet long, and each seed needs its own dedicated space of 18 inches to its right. How many seeds can Bob plant in each row?",80,10,False,"To calculate the number of seeds Bob can plant in each row, we first need to convert the space needed to inches. Since 1 foot is equal to 12 inches, the space needed to the right of each seed is 18 inches. Therefore, the total space needed for each seed is 120 feet * 12 inches/foot + 18 inches = 1440 inches + 18 inches = 1458 inches. To find out how many seeds can fit in each row, we divide the length of the row by the space needed per seed: 120 feet * 12 inches/foot / 1458 inches = 120 * 12 / 1458 = 10 seeds."
