question,example_answer,pred_answer,answer_exact_match,reasoning
"Vanessa wants to buy a dress she saw at the mall, which costs $80, and she already has $20 in savings. Her parents give her $30 every week, but she also spends $10 each weekend at the arcades. How many weeks will she have to wait until she can gather enough money to buy the dress?",3,"Vanessa needs $80 - $20 = $60 more to buy the dress. Since she saves $20 each week, she will need $60 / $20 = 3 weeks to gather enough money to buy the dress.",False,"To calculate how many weeks Vanessa will have to wait until she can gather enough money to buy the dress, we need to consider her weekly income and expenses. Each week, she receives $30 from her parents but spends $10 at the arcades. Therefore, her net weekly income is $30 - $10 = $20. With this information, we can determine how many weeks it will take for her to save up enough money to buy the dress."
"There are 30 students in the general study hall and twice as many students in the biology hall as there are in the general study hall. If the number of students in the math hall is 3/5 times as many as the combined total number of students in the general study hall and the biology hall combined,  calculate the total number of students in all the halls combined.",144,Total number of students in all the halls combined = G + 2G + 9/5 * G,False,"To solve this problem, we need to calculate the number of students in each hall and then find the total number of students in all the halls combined.

Let:
- Number of students in the general study hall be G
- Number of students in the biology hall be 2G (twice as many as in the general study hall)
- Number of students in the math hall be 3/5 * (G + 2G) = 3/5 * 3G = 9/5 * G

The total number of students in all the halls combined is G + 2G + 9/5 * G."
"Carlos and Diego are racing around the block. Carlos runs around the entire block in 3 minutes. Diego runs around half the block in 2.5 minutes and then is tripped by a dog and can't finish. Assuming he kept up the same speed the entire race, what would've been the average time in seconds for the racers?",240,"The total distance around the block is equivalent to two laps. Carlos completes one lap in 3 minutes, so he would complete two laps in 6 minutes. Diego completes half a lap in 2.5 minutes, so he would complete two laps in 10 minutes. Therefore, the average time for the racers would be (6 + 10) / 2 = 8 minutes, which is equivalent to 480 seconds.",False,"To find the average time for the racers, we need to consider the total distance they would have covered if they both completed the race. Since Carlos runs around the entire block in 3 minutes and Diego runs half the block in 2.5 minutes, we can calculate the average time by finding the total distance around the block and dividing it by the combined speed of Carlos and Diego."
"A craft store makes a third of its sales in the fabric section, a quarter of its sales in the jewelry section, and the rest in the stationery section. They made 36 sales today. How many sales were in the stationery section?",15,"Let's calculate the sales in the fabric and jewelry sections first:
Fabric sales = 36 * 1/3 = 12
Jewelry sales = 36 * 1/4 = 9

Total sales in fabric and jewelry sections = 12 + 9 = 21

Now, to find the sales in the stationery section:
Stationery sales = Total sales - (Fabric sales + Jewelry sales) = 36 - 21 = 15

Therefore, there were 15 sales in the stationery section.",False,"To find out how many sales were in the stationery section, we first need to calculate the total sales made in the fabric and jewelry sections. Then, we can subtract this total from the overall sales to determine the number of sales in the stationery section."
"Mark bought 2 pounds of tomatoes for $5 per pound and 5 pounds of apples, at $6 per pound. How much did he spend in total?",40,Mark spent a total of $40.,False,"To find out how much Mark spent in total, we need to calculate the cost of the tomatoes and the cost of the apples separately, and then add them together.

The cost of the tomatoes:
2 pounds * $5 per pound = $10

The cost of the apples:
5 pounds * $6 per pound = $30

Total cost:
$10 (tomatoes) + $30 (apples) = $40"
"There is 80 mg of caffeine in a cup of coffee. Lisa does not want to drink more than 200 mg of caffeine per day. If she drinks three cups of coffee, how many milligrams of coffee did Lisa drink over her goal?",40,Lisa drank 40 mg of caffeine over her goal.,False,"To find out how many milligrams of caffeine Lisa drank over her goal, we first need to calculate the total amount of caffeine she consumed by drinking three cups of coffee. Then, we can subtract her daily goal of 200 mg from this total to determine the excess amount."
"A married couple opened a savings account. The wife committed to saving $100 every week while the husband committed to saving $225 every month. After 4 months of savings, they decided to invest half of their money in buying stocks. Each share of stocks costs $50. How many shares of stocks can they buy?",25,"The wife saves $100 every week, so in 4 months (16 weeks), she saves 16 * $100 = $1600.
The husband saves $225 every month, so in 4 months, he saves 4 * $225 = $900.
Together, they have $1600 + $900 = $2500 available for investment.
They decide to invest half of this amount, which is $2500 / 2 = $1250.
Each share of stocks costs $50, so they can buy $1250 / $50 = 25 shares of stocks.",False,"To find out how much money the couple has saved after 4 months, we need to calculate the total savings of the wife and the husband separately. Then, we can determine the total amount available for investment in stocks by adding their savings together and dividing by 2."
Ms. Hatcher teaches 20 third-graders and a number of fourth-graders that is twice the number of third-graders. Her co-teacher asked her to substitute for her fifth-grade class that has half as many students as the number of third-graders. How many students did Ms. Hatcher teach for the day?,70,Ms. Hatcher taught 70 students for the day.,False,"To solve this problem, we need to follow the given information step by step. 
1. Ms. Hatcher teaches 20 third-graders.
2. The number of fourth-graders she teaches is twice the number of third-graders, so it's 20 * 2 = 40 fourth-graders.
3. The fifth-grade class has half as many students as the number of third-graders, which means it has 20 / 2 = 10 students.
4. Therefore, the total number of students Ms. Hatcher taught for the day is 20 (third-graders) + 40 (fourth-graders) + 10 (fifth-graders) = 70 students."
Erika and her 3 siblings are drawing with chalk outside. Another 3 friends join them and ask if they can help with the drawing. Erika loses 2 pieces of chalk as they are counting and the group realizes there isn't enough chalk for everyone. Erika’s mom brings out another 12 pieces of chalk for them to share and there is now enough chalk for everyone to have 3 pieces each. How many pieces of chalk did Erika and her siblings originally have?,11,Erika and her siblings originally had 11 pieces of chalk.,False,"Let's denote the original number of chalk pieces Erika and her siblings had as x. When the 3 friends join, the total number of people drawing becomes 4 siblings + 3 friends = 7 people. After losing 2 pieces of chalk, Erika's group has x - 2 pieces of chalk. When Erika's mom brings out 12 more pieces, the total number of chalk pieces becomes x - 2 + 12 = x + 10. Since now everyone has 3 pieces each, we can set up the equation 7 * 3 = x + 10."
"Bob, Tom, Sally, and Jerry had dinner at their favorite pizzeria. They decide to share 2 pizzas. Bob ate half of a pizza on his own. Tom ate one-third of a pizza. Sally wasn't very hungry and only ate one-sixth of a pizza, and Jerry ate a quarter of a pizza. If each pizza is cut into 12 slices, how many slices were left over?",9,"Bob ate 6 slices (half of a pizza), Tom ate 4 slices (one-third of a pizza), Sally ate 2 slices (one-sixth of a pizza), and Jerry ate 3 slices (a quarter of a pizza). Therefore, the total slices eaten is 6 + 4 + 2 + 3 = 15 slices. Subtracting this from the total number of slices in 2 pizzas (24 slices) gives us 24 - 15 = 9 slices left over.",False,"To find out how many slices were left over, we first need to calculate how many slices were eaten by Bob, Tom, Sally, and Jerry. Then, we can subtract the total number of eaten slices from the total number of slices in 2 pizzas, which is 2 * 12 = 24 slices."
"Rica's group won in a dance competition. She got 3/8 of the prize money. From Rica's prize money, she spent 1/5 of it and is now left with $300. How much was the prize money that her group won?",1000,The prize money that Rica's group won was $1600.,False,"Let's denote the total prize money that Rica's group won as x. Rica received 3/8 of x as her prize money. After spending 1/5 of her prize money, she is left with $300. We can set up the following equation to solve for x: (3/8)x - (1/5)(3/8)x = 300"
"Zilla spent 7% of her monthly earnings on rent, half of it on her other monthly expenses, and put the rest in her savings. If she spent $133 on her rent, how much does she deposit into her savings account in a month?",817,Zilla deposits $817 into her savings account in a month.,False,"If Zilla spent 7% of her monthly earnings on rent and the amount spent on rent is $133, we can calculate her total monthly earnings by dividing $133 by 7% (0.07). This gives us $1900. 
Half of her monthly earnings ($1900) would be spent on her other monthly expenses, which is $950. 
Therefore, the amount she deposits into her savings account in a month would be the remaining amount after deducting rent and other expenses from her total earnings, which is $1900 - $133 - $950 = $817."
"Jasmine gets off of work at 4:00 pm.  After that, it will take her 30 minutes to commute home, 30 minutes to grocery shop, 10 minutes to pick up the dry cleaning, 20 minutes to pick up the dog from the groomers and 90 minutes to cook dinner when she returns home.  What time will she eat dinner?",7,Jasmine will eat dinner at 7:30 pm.,False,"To find out what time Jasmine will eat dinner, we need to add up the time it will take for her to commute home, grocery shop, pick up dry cleaning, pick up the dog, and cook dinner. After adding up the times, we will add this total time to the time she gets off work at 4:00 pm."
"It takes Jason 30 minutes to cut 1 lawn in his neighborhood.  If he cuts 8 yards on both Saturday and Sunday, how many hours does he spend cutting grass?",8,Jason spends 8 hours cutting grass over the weekend.,False,"To find out how many hours Jason spends cutting grass, we first need to calculate how many lawns he cuts in total over the weekend. Since he cuts 8 lawns on both Saturday and Sunday, the total number of lawns cut over the weekend is 8 lawns/day * 2 days = 16 lawns. If it takes him 30 minutes to cut 1 lawn, then to find out how many hours he spends cutting grass, we need to convert 16 lawns into hours."
"Jackson is buying school supplies for his third grade class, which has 30 students. Each student needs 5 pens, 3 notebooks, 1 binder and 2 highlighters. Pens cost $0.50, notebooks cost $1.25, binders cost $4.25, and highlighters cost $0.75. If Jackson gets a $100 teacher discount, how much does he spend on school supplies?",260,"The total amount Jackson spends on school supplies, after applying the $100 teacher discount, is $((5*0.50 + 3*1.25 + 1*4.25 + 2*0.75) * 30) - 100 = $((2.50 + 3.75 + 4.25 + 1.50) * 30) - 100 = $(12 * 30) - 100 = $360 - 100 = $260.",False,"To calculate the total amount Jackson spends on school supplies, we need to find the cost of each item for all 30 students and then subtract the $100 teacher discount.

The cost breakdown per student is as follows:
- 5 pens at $0.50 each: 5 * $0.50 = $2.50
- 3 notebooks at $1.25 each: 3 * $1.25 = $3.75
- 1 binder at $4.25: $4.25
- 2 highlighters at $0.75 each: 2 * $0.75 = $1.50

Adding up the costs per student gives us the total cost per student, which we can then multiply by the number of students (30) to find the total cost before the discount. Finally, we subtract the $100 teacher discount to get the final amount spent."
"Sean buys 3 cans of soda, 2 soups, and 1 sandwich.  Each soup cost as much as the 3 combined sodas.  The sandwich cost 3 times as much as the soup.  If the soda cost $1 how much did everything cost together?",18,$18,True,"Let's denote the cost of a can of soda as $1. 
- The cost of 3 cans of soda is 3 * $1 = $3.
- Each soup costs as much as the 3 combined sodas, so each soup costs $3.
- The cost of 2 soups is 2 * $3 = $6.
- The sandwich costs 3 times as much as the soup, so the sandwich costs 3 * $3 = $9.

Therefore, the total cost of everything together is $3 (sodas) + $6 (soups) + $9 (sandwich) = $18."
"Jackie walks 2 miles each day while Jessie walks 1.5 miles each day. How many more miles, in all, does Jackie walk than Jessie walk in 6 days?",3,"In 6 days, Jackie walks 2 miles/day * 6 days = 12 miles.
In 6 days, Jessie walks 1.5 miles/day * 6 days = 9 miles.
Therefore, Jackie walks 12 miles - 9 miles = 3 miles more than Jessie in 6 days.",False,"To find out how many more miles Jackie walks than Jessie in 6 days, we first need to calculate the total distance each of them walks in 6 days. Then, we can find the difference between the total distance Jackie walks and the total distance Jessie walks."
"Sally bought 3 photograph frames, each costing her $3. She paid with a $20 bill. How much change did she get?",11,Sally received $11 in change.,False,"To find out how much change Sally received, we first need to calculate the total cost of the photograph frames by multiplying the cost of each frame by the number of frames. Then, we subtract this total cost from the amount she paid with to determine the change."
"A pack of dogs found a pile of bones in the dumpster behind the butcher shop.  One by one, the dogs crawled into the dumpster, grabbed a mouthful of bones, and ran off with their newfound treasure.  In all, there were 5 dogs.  The first dog carried off 3 bones.  The second dog carried off 1 less bone than the first dog.  The third dog carried off twice as many as the second dog.  The fourth dog carried off one bone, and the fifth dog carried off twice the number of bones as the fourth dog carried, leaving no remaining bones in the dumpster.  How many bones were in the original pile of bones?",12,The original pile of bones had 3 + 2 + 2 + 1 + 2 = 10 bones.,False,"To solve this problem, we can work backwards from the last dog to the first dog. Let's denote the number of bones each dog took as follows:
- The fifth dog took 2 bones.
- The fourth dog took 1 bone.
- The third dog took 2 * 1 = 2 bones.
- The second dog took 3 - 1 = 2 bones.
- The first dog took 3 bones.

Adding up the bones taken by each dog gives us the total number of bones in the original pile."
"My age is five times that of my son. Next year, my son will be eight years old. How old am I now?",35,"The son's current age (x) is 7. Therefore, the father's current age (5x) is 35.",False,"Let's denote the son's current age as x. According to the information given, the father's age is five times that of the son's age. So, the father's age would be 5x. Since we know that next year the son will be 8 years old, we can set up the equation: x + 1 = 8 to find the son's current age."
"Mitzi brought $75 to the amusement park. She spent $30 on a ticket, $13 on food, and $23 on a T-shirt. How much money does she have left?",9,Mitzi has $75 - $30 - $13 - $23 = $9 left.,False,"To find out how much money Mitzi has left, we need to subtract the total amount she spent from the amount she brought."
"The owner of a Turkish restaurant wanted to prepare traditional dishes for an upcoming celebration. She ordered ground beef, in four-pound packages, from three different butchers. The following morning, the first butcher delivered 10 packages. A couple of hours later, 7 packages arrived from the second butcher. Finally, the third butcher’s delivery arrived at dusk. If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the third butcher deliver?",8,The third butcher delivered 13 packages.,False,"Let's denote the number of packages delivered by the third butcher as x. 
From the information given, we can create the following equation:
10 packages + 7 packages + x packages = 100 pounds
Solving this equation will give us the number of packages delivered by the third butcher."
"Jake can wash his car with 1 bottle of car wash soap 4 times.  If each bottle costs $4.00, and he washes his car once a week for 20 weeks, how much does he spend on car soap?",20,Jake spends $20.00 on car soap over 20 weeks.,False,"To find out how much Jake spends on car soap, we first need to determine how many bottles of car wash soap he uses in total over 20 weeks. Since he can wash his car 4 times with 1 bottle, he will need 1/4 of a bottle per wash. Therefore, over 20 weeks, he will need 20/4 = 5 bottles of car wash soap. Each bottle costs $4.00, so the total amount spent on car soap is 5 * $4.00."
"Karen had the giant box of crayons, containing twice as many crayons as were in Beatrice's box. But Beatrice's box contained twice as many crayons as were in Gilbert's box of crayons. And Gilbert had four times as many crayons as were in Judah's box of crayons. If Karen's box contained 128 crayons, how many crayons were in Judah's box?",8,Judah's box contained 8 crayons.,False,"Let's denote the number of crayons in Judah's box as J. According to the information given:
- Gilbert had 4J crayons.
- Beatrice had 2 * 4J = 8J crayons.
- Karen had 2 * 8J = 16J crayons.
Given that Karen's box contained 128 crayons, we can set up the equation: 16J = 128."
"Isabelle gets a job so she can save enough money to go to a concert with her two brothers. Her ticket costs $20. Her brothers both get the children’s discount, and each of their tickets cost $10. Her brothers have saved $5 between the two of them and Isabelle has saved $5. If her job pays $3 per week, how many weeks must she work to afford the tickets?",10,Isabelle must work for 10 weeks to afford the tickets.,False,"To find out how many weeks Isabelle must work to afford the tickets, we need to calculate the total cost of the tickets and then determine how many weeks it would take for Isabelle to save up that amount with her weekly pay.

The total cost of the tickets is $20 (Isabelle's ticket) + $10 (each brother's ticket) + $10 (each brother's ticket) = $40.

Isabelle and her brothers have saved a total of $5 + $5 = $10.

Isabelle needs to save $40 - $10 = $30.

If Isabelle earns $3 per week, then she would need to work for $30 / $3 = 10 weeks to afford the tickets."
Jackie loves to climb trees.  She climbed a 1000 foot tall tree.  Then she climbed 2 trees that were half as tall as the first tree.  She finished by climbing a tree that was 200 feet taller than her first tree.  What was the average height of the trees that Jackie climbed?,800,The average height of the trees that Jackie climbed was 800 feet.,False,"To find the average height of the trees that Jackie climbed, we need to calculate the total height of all the trees she climbed and then divide it by the total number of trees.

The first tree was 1000 feet tall.
The second and third trees were half as tall as the first tree, so each was 1000 / 2 = 500 feet tall.
The fourth tree was 200 feet taller than the first tree, so it was 1000 + 200 = 1200 feet tall.

Therefore, the total height of all the trees Jackie climbed is 1000 + 500 + 500 + 1200 = 3200 feet.

Since Jackie climbed a total of 4 trees, the average height of the trees she climbed is 3200 / 4 = 800 feet."
Miss Darlington has a basket of 20 blueberries. She picked 9 more baskets with the same amount of berries. How many blueberries did Miss Darlington have in all?,200,"Miss Darlington has a total of 20 blueberries in each basket, and she picked 9 more baskets. Therefore, the total number of blueberries she has is 20 * 10 = 200.",False,"To find the total number of blueberries Miss Darlington has, we need to multiply the number of baskets by the number of blueberries in each basket."
"At a certain school, 2/3 of the population are females. One-tenth of the males are foreign students. If the school has 300 students, how many students are non-foreign male students?",90,The number of non-foreign male students in the school is 90.,False,"Let's first find out how many females and males are in the school. Since 2/3 of the population are females, then 1/3 are males. Given that the school has 300 students, we can calculate that there are 300 * 1/3 = 100 males and 300 * 2/3 = 200 females. 

Next, we need to find out how many of the males are foreign students. Since one-tenth of the males are foreign students, we have 100 * 1/10 = 10 male foreign students. 

To determine the number of non-foreign male students, we subtract the number of male foreign students from the total number of males. Therefore, the number of non-foreign male students is 100 - 10 = 90."
"The average GPA for 6th graders is 93, the 7th graders is 2 more than the 6th graders and the 8th graders average GPA is 91.  What is the average GPA for the school?",93,The average GPA for the school is (93 + 95 + 91) / 3 = 279 / 3 = 93.,False,"To find the average GPA for the school, we need to calculate the total GPA for all three grades and then divide by the total number of grades (3)."
Tonya is in a hamburger eating contest. Each hamburger is 4 ounces. Last year the winner ate 84 ounces. How many hamburgers does she have to eat to beat last year's winner?,22,Tonya needs to eat 21 hamburgers to beat last year's winner.,False,"To find out how many hamburgers Tonya needs to eat to beat last year's winner, we need to divide the total ounces eaten by the winner by the weight of each hamburger."
Jackson is buying chairs for his restaurant. He has 6 tables with 4 seats and 12 tables with 6 seats. How many chairs total does Jackson need to buy?,96,Jackson needs to buy a total of 96 chairs for his restaurant.,False,"To find out how many chairs Jackson needs to buy, we first calculate the total number of chairs required for the tables with 4 seats and then add the total number of chairs required for the tables with 6 seats.

For tables with 4 seats: 6 tables * 4 seats per table = 24 chairs
For tables with 6 seats: 12 tables * 6 seats per table = 72 chairs

Total chairs needed = 24 chairs + 72 chairs"
"It takes 15 minutes for Dante to go to Hidden Lake. From Hidden Lake, he has to walk back to the Park Office and it takes him 7 minutes. When he arrives there, he will have been gone from the Park Office 32 minutes altogether. If he had walked to the Lake Park restaurant from the Park office before taking the 15 minute walk to Hidden Lake, how long is the walk from Park Office to the Lake Park restaurant?",10,"By solving the equation:
15 + x + 7 = 32
22 + x = 32
x = 32 - 22
x = 10

Therefore, the walk from the Park Office to the Lake Park restaurant takes 10 minutes.",False,"Let's break down the information given:
1. Dante takes 15 minutes to walk to Hidden Lake.
2. From Hidden Lake, he walks back to the Park Office in 7 minutes.
3. When he arrives at the Park Office, he has been gone for a total of 32 minutes.
4. If he had walked to the Lake Park restaurant from the Park Office before going to Hidden Lake, we need to find out the time taken for this walk.

Let x be the time taken for Dante to walk from the Park Office to the Lake Park restaurant.

Given the information above, we can set up the following equation:
15 (walk to Hidden Lake) + x (walk to Lake Park restaurant) + 7 (walk back to Park Office) = 32"
"The math teacher would be happy if the class average test score was at least 85. There are 10 students in the class, 5 of which scored a 92 on the test and 4 of which scored an 80. What would the last student have to score to at least make the teacher happy?",70,The last student would need to score 88 on the test to make the class average at least 85.,False,"To find out what score the last student would need to make the class average at least 85, we can calculate the total score needed for all 10 students to have an average of 85. We know that the total score for the 9 students (5 students with a score of 92 and 4 students with a score of 80) is 5*92 + 4*80. To find the total score needed for all 10 students to have an average of 85, we add the score the last student needs to get to this total and divide by 10."
"Rebecca bought 22 items for her camping trip, including tent stakes, packets of drink mix, and bottles of water.  She bought 3 times as many packets of drink mix as tent stakes.  She also bought 2 more bottles of water than she did tent stakes.  How many tent stakes did she buy?",4,Rebecca bought 5 tent stakes for her camping trip.,False,"Let's denote the number of tent stakes as x. 
Rebecca bought 3 times as many packets of drink mix as tent stakes, so the number of packets of drink mix is 3x. 
She also bought 2 more bottles of water than tent stakes, so the number of bottles of water is x + 2. 
The total number of items she bought is the sum of tent stakes, packets of drink mix, and bottles of water, which is given as 22. 
Therefore, the equation representing this situation is x + 3x + (x + 2) = 22."
"A casino table pays 3:2 if you get a blackjack with your first 2 cards. If you scored a blackjack and were paid $60, what was your original bet?",40,"To calculate the original bet, we can set up a proportion:
$60 is to 3 as X (original bet) is to 2.

This can be written as:
$60/3 = X/2
$20 = X

Therefore, the original bet was $20.",False,"In a blackjack game, a payout of 3:2 means that for every $2 bet, you win $3. Therefore, the ratio of the payout to the original bet is 3:2. If the player was paid $60 for a blackjack, this means that the $60 represents the 3 parts of the ratio. To find the original bet, we need to determine what 2 parts of the ratio would be."
"Haley has 5 more necklaces than Jason. Josh has half the number of necklaces as Jason. If Haley has 25 necklaces, how many more necklaces does Haley have than Josh?",15,15,True,"If Haley has 25 necklaces and she has 5 more necklaces than Jason, then Jason has 25 - 5 = 20 necklaces. Since Josh has half the number of necklaces as Jason, Josh has 20 / 2 = 10 necklaces. Therefore, Haley has 25 - 10 = 15 more necklaces than Josh."
"Shannon bought 5 pints of frozen yogurt, two packs of chewing gum, and five trays of jumbo shrimp from The Food Place for a total of  $55 If the price of a tray of jumbo shrimp is $5 and a pack of chewing gum costs half as much as a pint of frozen yogurt, what is the price of a pint of frozen yogurt?",5,"Solving the equation 5x + x + $25 = $55, we find:
6x + $25 = $55
6x = $30
x = $5

Therefore, the price of a pint of frozen yogurt is $5.",False,"Let's denote the price of a pint of frozen yogurt as x. 
- The total cost of the jumbo shrimp is 5 trays * $5 = $25.
- The total cost of the chewing gum is 2 packs * (1/2)x = x.
- The total cost of the frozen yogurt is 5 pints * x = 5x.
- The total cost of all items is $55, so we can set up the equation: 5x + x + $25 = $55."
"Codger is a three-footed sloth.  He has a challenging time buying shoes because the stores only sell the shoes in pairs. If he already owns the 3-piece set of shoes he is wearing, how many pairs of shoes does he need to buy to have 5 complete 3-piece sets of shoes?",6,Codger would need to buy 7 pairs of shoes to have 5 complete 3-piece sets of shoes.,False,"To have 5 complete 3-piece sets of shoes, Codger would need a total of 15 shoes (5 sets * 3 shoes per set). Since he already owns a 3-piece set of shoes, he would need to buy 14 more shoes to have 5 complete sets."
"Each year a store decreased the price of a certain model of TV by $35. If the price in 2001 was $1950, what was the price in 2009?",1670,The price of the TV model in 2009 was $1950 - $280 = $1670.,False,"Since the store decreased the price of the TV model by $35 each year, we can calculate the total decrease in price from 2001 to 2009. The number of years between 2001 and 2009 is 8 (2009 - 2001 = 8). Therefore, the total decrease in price over 8 years is $35 * 8 = $280. To find the price in 2009, we need to subtract this total decrease from the price in 2001."
Jerome is taking a 150-mile bicycle trip. He wants to ride 12 miles for 12 days. How long will he ride on the 13th day to finish his goal?,6,Jerome will ride 6 miles on the 13th day to finish his goal.,False,"To find out how long Jerome will ride on the 13th day to finish his goal, we can calculate the total distance he will have ridden in 12 days first. Then, we can subtract this total distance from the 150-mile trip to determine how many miles he has left to ride on the 13th day."
"Joanna has $8. Compared to her money, her brother has thrice as much while her sister has only half as much. How much money do the three of them have altogether?",36,The three of them have a total of 4.5 times the amount Joanna has.,False,"Let's denote the amount of money Joanna has as J. 
Given that her brother has thrice as much as Joanna, he has 3J. 
And since her sister has half as much as Joanna, she has 0.5J. 
Therefore, the total amount of money the three of them have is J + 3J + 0.5J = 4.5J."
