question,example_answer,pred_answer,answer_exact_match,rationale
"There are 30 students in the general study hall and twice as many students in the biology hall as there are in the general study hall. If the number of students in the math hall is 3/5 times as many as the combined total number of students in the general study hall and the biology hall combined,  calculate the total number of students in all the halls combined.",144,720,False,"Let's denote:
- Number of students in the general study hall as G
- Number of students in the biology hall as B
- Number of students in the math hall as M

From the given information:
1. B = 2G (twice as many students in the biology hall as in the general study hall)
2. M = 3/5(G + B) (number of students in the math hall is 3/5 times the total number of students in the general study hall and biology hall)
3. G + B + M = total number of students in all halls

Substitute B = 2G into the equation for M:
M = 3/5(G + 2G)
M = 3/5(3G)
M = 9G/5

The total number of students in all halls combined is:
G + B + M = G + 2G + 9G/5 = 5G + 10G + 9G = 24G

Given that there are 30 students in the general study hall, G = 30. Therefore, the total number of students in all halls combined is 24 * 30 = 720."
"Carlos and Diego are racing around the block. Carlos runs around the entire block in 3 minutes. Diego runs around half the block in 2.5 minutes and then is tripped by a dog and can't finish. Assuming he kept up the same speed the entire race, what would've been the average time in seconds for the racers?",240,240,True,"To calculate the average time for the racers, we need to consider the total distance each runner would have covered if they completed the race. Carlos runs around the entire block in 3 minutes, so his average time per lap is 3 minutes. Diego runs around half the block in 2.5 minutes, so if he had completed the full block, he would have taken 2.5 * 2 = 5 minutes. 
To find the average time, we sum the times of Carlos and Diego and divide by the number of racers. Therefore, the average time in seconds for the racers would be \( \frac{3 \text{ minutes} + 5 \text{ minutes}}{2} \times 60 \text{ seconds/minute} = 240 \text{ seconds} \)."
"A craft store makes a third of its sales in the fabric section, a quarter of its sales in the jewelry section, and the rest in the stationery section. They made 36 sales today. How many sales were in the stationery section?",15,15,True,"To find the number of sales in the stationery section, we first calculate the total sales in the fabric and jewelry sections. 
A third of the sales are in the fabric section: 36 sales * 1/3 = 12 sales
A quarter of the sales are in the jewelry section: 36 sales * 1/4 = 9 sales
Therefore, the number of sales in the stationery section is the remaining sales after subtracting those in the fabric and jewelry sections:
36 - 12 (fabric) - 9 (jewelry) = 15 sales in the stationery section."
"Mark bought 2 pounds of tomatoes for $5 per pound and 5 pounds of apples, at $6 per pound. How much did he spend in total?",40,40,True,"To calculate the total amount Mark spent, we need to multiply the price per pound by the number of pounds for both the tomatoes and the apples, and then sum these amounts:
- Cost of tomatoes: 2 pounds * $5 per pound = $10
- Cost of apples: 5 pounds * $6 per pound = $30
Total amount spent: $10 (tomatoes) + $30 (apples) = $40"
"There is 80 mg of caffeine in a cup of coffee. Lisa does not want to drink more than 200 mg of caffeine per day. If she drinks three cups of coffee, how many milligrams of coffee did Lisa drink over her goal?",40,40,True,"To determine how many milligrams of caffeine Lisa drank over her goal, we calculate the total amount of caffeine consumed by drinking three cups of coffee. Since each cup contains 80 mg of caffeine and Lisa drank three cups, the total caffeine consumed is 80 mg/cup * 3 cups = 240 mg. 
Subtracting Lisa's daily goal of 200 mg from the total caffeine consumed, we find the excess amount: 240 mg - 200 mg = 40 mg."
"A married couple opened a savings account. The wife committed to saving $100 every week while the husband committed to saving $225 every month. After 4 months of savings, they decided to invest half of their money in buying stocks. Each share of stocks costs $50. How many shares of stocks can they buy?",25,25,True,"To determine the total savings of the married couple after 4 months, we need to calculate the total savings of the wife and the husband separately and then sum them up.
- The wife saves $100 every week, so after 4 months (16 weeks), she saves $100/week * 16 weeks = $1600.
- The husband saves $225 every month, so after 4 months, he saves $225/month * 4 months = $900.
The total savings of the couple after 4 months is $1600 (wife) + $900 (husband) = $2500.
If they decide to invest half of this amount in buying stocks, they would have $2500 / 2 = $1250 to invest. If each share of stocks costs $50, they can buy $1250 / $50 = 25 shares of stocks."
Ms. Hatcher teaches 20 third-graders and a number of fourth-graders that is twice the number of third-graders. Her co-teacher asked her to substitute for her fifth-grade class that has half as many students as the number of third-graders. How many students did Ms. Hatcher teach for the day?,70,70,True,"To find the total number of students Ms. Hatcher taught for the day, we first determine the number of fourth-graders and fifth-graders. Given that Ms. Hatcher teaches 20 third-graders, the number of fourth-graders is twice this amount, which is 2 * 20 = 40 fourth-graders. The number of fifth-graders is half the number of third-graders, which is 20 / 2 = 10 fifth-graders. Therefore, the total number of students Ms. Hatcher taught for the day is 20 third-graders + 40 fourth-graders + 10 fifth-graders = 70 students."
Erika and her 3 siblings are drawing with chalk outside. Another 3 friends join them and ask if they can help with the drawing. Erika loses 2 pieces of chalk as they are counting and the group realizes there isn't enough chalk for everyone. Erika’s mom brings out another 12 pieces of chalk for them to share and there is now enough chalk for everyone to have 3 pieces each. How many pieces of chalk did Erika and her siblings originally have?,11,11,True,"The correct approach to solving this problem is as follows:
Let x be the original number of chalk pieces Erika and her siblings had. After losing 2 pieces, they were left with x - 2 pieces. When Erika's mom brought 12 more pieces, the total number of pieces became x - 2 + 12 = x + 10. Since there were 4 siblings and 3 friends, totaling 7 kids, and each kid now has 3 pieces of chalk, the total number of pieces should be 7 * 3 = 21. Therefore, the equation is x + 10 = 21, which simplifies to x = 11. Thus, Erika and her siblings originally had 11 pieces of chalk."
"Bob, Tom, Sally, and Jerry had dinner at their favorite pizzeria. They decide to share 2 pizzas. Bob ate half of a pizza on his own. Tom ate one-third of a pizza. Sally wasn't very hungry and only ate one-sixth of a pizza, and Jerry ate a quarter of a pizza. If each pizza is cut into 12 slices, how many slices were left over?",9,9,True,"To find the total number of slices eaten by Bob, Tom, Sally, and Jerry, we calculate:
- Bob: 1/2 * 12 = 6 slices
- Tom: 1/3 * 12 = 4 slices
- Sally: 1/6 * 12 = 2 slices
- Jerry: 1/4 * 12 = 3 slices

Total slices eaten = 6 + 4 + 2 + 3 = 15 slices

Since they shared 2 pizzas cut into 12 slices each, the total number of slices available is 2 * 12 = 24 slices.

Therefore, the number of slices left over is 24 (total slices) - 15 (slices eaten) = 9 slices left over."
"Rica's group won in a dance competition. She got 3/8 of the prize money. From Rica's prize money, she spent 1/5 of it and is now left with $300. How much was the prize money that her group won?",1000,375,False,"To find the total prize money that Rica's group won, we first determine the amount Rica is left with after spending 1/5 of her prize money, which is $300. Since she spent 1/5 of her prize money, she has 4/5 of it remaining. Let x be the total prize money. Rica is left with 4/5 * x = $300. Solving for x, we get x = $300 / (4/5) = $375. Therefore, the prize money that Rica's group won is $375."
"Zilla spent 7% of her monthly earnings on rent, half of it on her other monthly expenses, and put the rest in her savings. If she spent $133 on her rent, how much does she deposit into her savings account in a month?",817,817,True,"To calculate how much Zilla deposits into her savings account, we need to consider that she spent 7% of her monthly earnings on rent and half of the remaining on other expenses. This leaves 100% - 7% - 50% = 43% of her earnings going into savings. If she spent $133 on rent, then the total amount of her monthly earnings would be $133 / 7% = $1900. Therefore, the amount she deposits into her savings account is 43% of $1900, which is $817."
"Jasmine gets off of work at 4:00 pm.  After that, it will take her 30 minutes to commute home, 30 minutes to grocery shop, 10 minutes to pick up the dry cleaning, 20 minutes to pick up the dog from the groomers and 90 minutes to cook dinner when she returns home.  What time will she eat dinner?",7,7:00 pm,False,"To calculate the time Jasmine will eat dinner, we need to add up the time for each activity after she gets off work at 4:00 pm:
- Commuting home: 30 minutes
- Grocery shopping: 30 minutes
- Picking up dry cleaning: 10 minutes
- Picking up the dog from the groomers: 20 minutes
- Cooking dinner: 90 minutes
Adding these times together, we get 30 + 30 + 10 + 20 + 90 = 180 minutes, which is equivalent to 3 hours. Therefore, Jasmine will eat dinner at 4:00 pm + 3 hours = 7:00 pm."
"It takes Jason 30 minutes to cut 1 lawn in his neighborhood.  If he cuts 8 yards on both Saturday and Sunday, how many hours does he spend cutting grass?",8,4,False,"To calculate the total time Jason spends cutting grass, we first determine the time it takes him to cut one lawn, which is 30 minutes. Since he cuts 8 lawns on both Saturday and Sunday, the total time spent cutting grass over the weekend is:
8 lawns * 30 minutes per lawn * 2 days = 240 minutes = 4 hours"
"Jackson is buying school supplies for his third grade class, which has 30 students. Each student needs 5 pens, 3 notebooks, 1 binder and 2 highlighters. Pens cost $0.50, notebooks cost $1.25, binders cost $4.25, and highlighters cost $0.75. If Jackson gets a $100 teacher discount, how much does he spend on school supplies?",260,260,True,"To calculate the total cost of school supplies for Jackson's third grade class, we need to determine the cost for each item per student and then multiply by the number of students. 
The cost per student is calculated as follows:
- 5 pens at $0.50 each: 5 * $0.50 = $2.50
- 3 notebooks at $1.25 each: 3 * $1.25 = $3.75
- 1 binder at $4.25 each: $4.25
- 2 highlighters at $0.75 each: 2 * $0.75 = $1.50
Therefore, the total cost per student is $2.50 + $3.75 + $4.25 + $1.50 = $12.
Multiplying this by the number of students (30) gives $12 * 30 = $360. 
After subtracting the $100 teacher discount, the total amount spent on school supplies is $360 - $100 = $260."
"Sean buys 3 cans of soda, 2 soups, and 1 sandwich.  Each soup cost as much as the 3 combined sodas.  The sandwich cost 3 times as much as the soup.  If the soda cost $1 how much did everything cost together?",18,18,True,"To find the total cost of everything, we first calculate the cost of each item:
- Each soda costs $1.
- Each soup costs as much as the 3 combined sodas, so each soup costs 3 * $1 = $3.
- The sandwich costs 3 times as much as the soup, so the sandwich costs 3 * $3 = $9.

Therefore, the total cost of the 3 sodas is 3 * $1 = $3, the total cost of the 2 soups is 2 * $3 = $6, and the cost of the sandwich is $9. Adding these together, the total cost of everything is $3 + $6 + $9 = $18."
"Jackie walks 2 miles each day while Jessie walks 1.5 miles each day. How many more miles, in all, does Jackie walk than Jessie walk in 6 days?",3,3,True,"The correct way to calculate the difference in the total miles walked by Jackie and Jessie in 6 days is as follows:
- Jackie walks 2 miles each day, so in 6 days she walks 2 miles/day * 6 days = 12 miles.
- Jessie walks 1.5 miles each day, so in 6 days she walks 1.5 miles/day * 6 days = 9 miles.
Therefore, the difference in the total miles walked by Jackie and Jessie in 6 days is 12 miles - 9 miles = 3 miles."
"Sally bought 3 photograph frames, each costing her $3. She paid with a $20 bill. How much change did she get?",11,11,True,"Sally bought 3 photograph frames, each costing $3, so the total cost of the frames is 3 * $3 = $9. If she paid with a $20 bill, the change she would receive is $20 - $9 = $11."
"A pack of dogs found a pile of bones in the dumpster behind the butcher shop.  One by one, the dogs crawled into the dumpster, grabbed a mouthful of bones, and ran off with their newfound treasure.  In all, there were 5 dogs.  The first dog carried off 3 bones.  The second dog carried off 1 less bone than the first dog.  The third dog carried off twice as many as the second dog.  The fourth dog carried off one bone, and the fifth dog carried off twice the number of bones as the fourth dog carried, leaving no remaining bones in the dumpster.  How many bones were in the original pile of bones?",12,12,True,"To find the total number of bones in the original pile of bones, we need to calculate the number of bones carried off by each dog and then sum them up. 
- The first dog carried off 3 bones.
- The second dog carried off 3 - 1 = 2 bones.
- The third dog carried off 2 * 2 = 4 bones.
- The fourth dog carried off 1 bone.
- The fifth dog carried off 2 * 1 = 2 bones.
Adding up the bones carried off by each dog: 3 + 2 + 4 + 1 + 2 = 12 bones in total."
"My age is five times that of my son. Next year, my son will be eight years old. How old am I now?",35,35,True,"Given that next year the son will be eight years old, we can deduce that the son's current age is 7. Since the age of the parent is five times the age of the son, the parent's age is 5 * 7 = 35 years."
"Mitzi brought $75 to the amusement park. She spent $30 on a ticket, $13 on food, and $23 on a T-shirt. How much money does she have left?",9,9,True,"To calculate how much money Mitzi has left, we need to subtract the total amount she spent from the amount she brought to the amusement park. The total amount Mitzi spent is $30 (ticket) + $13 (food) + $23 (T-shirt) = $66. Therefore, the amount of money Mitzi has left is $75 (amount brought) - $66 (total spent) = $9."
"The owner of a Turkish restaurant wanted to prepare traditional dishes for an upcoming celebration. She ordered ground beef, in four-pound packages, from three different butchers. The following morning, the first butcher delivered 10 packages. A couple of hours later, 7 packages arrived from the second butcher. Finally, the third butcher’s delivery arrived at dusk. If all the ground beef delivered by the three butchers weighed 100 pounds, how many packages did the third butcher deliver?",8,8,True,"Given that the total weight of ground beef delivered by the first two butchers is 10 packages * 4 pounds/package + 7 packages * 4 pounds/package = 68 pounds, the third butcher must have delivered the remaining 100 pounds - 68 pounds = 32 pounds. Since each package is 4 pounds, the number of packages delivered by the third butcher is 32 pounds / 4 pounds/package = 8 packages."
"Jake can wash his car with 1 bottle of car wash soap 4 times.  If each bottle costs $4.00, and he washes his car once a week for 20 weeks, how much does he spend on car soap?",20,20.00,False,"The correct way to calculate the total amount Jake spends on car soap over 20 weeks is as follows:
- Since Jake can wash his car 4 times with 1 bottle of soap, he uses 1/4 = 0.25 of a bottle per car wash.
- Over 20 weeks, he uses 20 * 0.25 = 5 bottles of soap.
- Each bottle costs $4.00, so the total amount spent on car soap is 5 * $4.00 = $20.00."
"Karen had the giant box of crayons, containing twice as many crayons as were in Beatrice's box. But Beatrice's box contained twice as many crayons as were in Gilbert's box of crayons. And Gilbert had four times as many crayons as were in Judah's box of crayons. If Karen's box contained 128 crayons, how many crayons were in Judah's box?",8,8,True,"Given that Karen's box contained 128 crayons and it had twice as many crayons as Beatrice's box, we can deduce that Beatrice's box had 128 / 2 = 64 crayons. Similarly, since Beatrice's box contained twice as many crayons as Gilbert's box, Gilbert's box had 64 / 2 = 32 crayons. Lastly, if Gilbert had four times as many crayons as Judah, Judah's box had 32 / 4 = 8 crayons."
"Isabelle gets a job so she can save enough money to go to a concert with her two brothers. Her ticket costs $20. Her brothers both get the children’s discount, and each of their tickets cost $10. Her brothers have saved $5 between the two of them and Isabelle has saved $5. If her job pays $3 per week, how many weeks must she work to afford the tickets?",10,10,True,"To calculate the total cost of the tickets for Isabelle and her two brothers, we sum the cost of Isabelle's ticket and her brothers' tickets: $20 (Isabelle) + $10 (brother 1) + $10 (brother 2) = $40. Since Isabelle has saved $5 and her brothers have saved $5, the total amount they need to gather is $40 - $5 - $5 = $30. If Isabelle's job pays $3 per week, she would need to work for $30 / $3 = 10 weeks to afford the tickets."
Jackie loves to climb trees.  She climbed a 1000 foot tall tree.  Then she climbed 2 trees that were half as tall as the first tree.  She finished by climbing a tree that was 200 feet taller than her first tree.  What was the average height of the trees that Jackie climbed?,800,800,True,"To find the average height of the trees that Jackie climbed, we need to calculate the total height of all the trees she climbed and then divide by the number of trees. 
- The first tree was 1000 feet tall.
- The next two trees were half as tall as the first tree, so each of them was 1000 / 2 = 500 feet tall.
- The last tree was 200 feet taller than the first tree, making it 1000 + 200 = 1200 feet tall.
Calculating the total height of all trees: 1000 + 500 + 500 + 1200 = 3200 feet.
Since Jackie climbed 4 trees in total, the average height of the trees she climbed is 3200 / 4 = 800 feet."
Miss Darlington has a basket of 20 blueberries. She picked 9 more baskets with the same amount of berries. How many blueberries did Miss Darlington have in all?,200,200,True,"The correct way to calculate the total number of blueberries Miss Darlington has is by considering that each basket has 20 blueberries and she picked 9 more baskets with the same amount. Therefore, the total number of blueberries she has is 20 blueberries per basket * 10 baskets = 200 blueberries."
"At a certain school, 2/3 of the population are females. One-tenth of the males are foreign students. If the school has 300 students, how many students are non-foreign male students?",90,90,True,"To solve this problem, we first determine the number of females in the school. Since 2/3 of the population are females, the number of females is 2/3 * 300 = 200. The remaining 100 students are males. 
Given that one-tenth of the males are foreign students, the number of foreign male students is 1/10 * 100 = 10. 
Therefore, the number of non-foreign male students is 100 - 10 = 90."
"The average GPA for 6th graders is 93, the 7th graders is 2 more than the 6th graders and the 8th graders average GPA is 91.  What is the average GPA for the school?",93,93,True,"To calculate the average GPA for the school, we need to consider the different average GPAs for each grade level. Given that the average GPA for 6th graders is 93, the 7th graders have an average GPA that is 2 points higher, so their average GPA is 93 + 2 = 95. The average GPA for 8th graders is 91. 
To find the overall average GPA for the school, we sum up the average GPAs for each grade level and divide by the total number of grade levels (3 in this case): (93 + 95 + 91) / 3 = 279 / 3 = 93."
Tonya is in a hamburger eating contest. Each hamburger is 4 ounces. Last year the winner ate 84 ounces. How many hamburgers does she have to eat to beat last year's winner?,22,21,False,"To calculate the number of hamburgers Tonya needs to eat to beat last year's winner, we divide the total ounces eaten by the winner (84 ounces) by the weight of one hamburger (4 ounces).
\[ \frac{84 \text{ ounces}}{4 \text{ ounces/hamburger}} = 21 \text{ hamburgers} \]"
Jackson is buying chairs for his restaurant. He has 6 tables with 4 seats and 12 tables with 6 seats. How many chairs total does Jackson need to buy?,96,96,True,"To calculate the total number of chairs Jackson needs to buy, we first find the number of chairs for each type of table:
- 6 tables with 4 seats each: 6 tables * 4 seats = 24 chairs
- 12 tables with 6 seats each: 12 tables * 6 seats = 72 chairs

Now, we sum up the chairs needed for each type of table to find the total number of chairs:
24 chairs + 72 chairs = 96 chairs"
"It takes 15 minutes for Dante to go to Hidden Lake. From Hidden Lake, he has to walk back to the Park Office and it takes him 7 minutes. When he arrives there, he will have been gone from the Park Office 32 minutes altogether. If he had walked to the Lake Park restaurant from the Park office before taking the 15 minute walk to Hidden Lake, how long is the walk from Park Office to the Lake Park restaurant?",10,10,True,"To find the time it takes for Dante to walk from the Park Office to the Lake Park restaurant, we need to consider the total time he spent away from the Park Office and subtract the time spent walking between Hidden Lake and the Park Office. 
Dante spent 15 minutes walking to Hidden Lake and 7 minutes walking back to the Park Office, totaling 15 + 7 = 22 minutes. Since he was gone from the Park Office for 32 minutes in total, the time spent at the Lake Park restaurant before walking to Hidden Lake is 32 - 22 = 10 minutes. Therefore, the walk from the Park Office to the Lake Park restaurant takes 10 minutes."
"The math teacher would be happy if the class average test score was at least 85. There are 10 students in the class, 5 of which scored a 92 on the test and 4 of which scored an 80. What would the last student have to score to at least make the teacher happy?",70,70,True,"To determine what score the last student needs to achieve to make the class average at least 85, we first calculate the total points earned by the 9 students who have already taken the test. The 5 students who scored 92 each contribute a total of 5 * 92 = 460 points, and the 4 students who scored 80 each contribute a total of 4 * 80 = 320 points. 
The total points contributed by the 9 students so far is 460 + 320 = 780. 
For the class average to be at least 85, the total points for all 10 students should be at least 85 * 10 = 850. 
Thus, the last student needs to score 850 - 780 = 70 to make the teacher happy."
"Rebecca bought 22 items for her camping trip, including tent stakes, packets of drink mix, and bottles of water.  She bought 3 times as many packets of drink mix as tent stakes.  She also bought 2 more bottles of water than she did tent stakes.  How many tent stakes did she buy?",4,4,True,"Let's denote the number of tent stakes as x. 
Given that Rebecca bought 3 times as many packets of drink mix as tent stakes, the number of packets of drink mix is 3x.
She also bought 2 more bottles of water than tent stakes, so the number of bottles of water is x + 2.
The total number of items bought is the sum of all these quantities: x + 3x + (x + 2) = 22.
This simplifies to 5x + 2 = 22.
Subtracting 2 from both sides gives 5x = 20.
Dividing by 5, we find x = 4."
"A casino table pays 3:2 if you get a blackjack with your first 2 cards. If you scored a blackjack and were paid $60, what was your original bet?",40,40,True,"In a 3:2 payout scenario for a blackjack win, for every 2 units bet, the player receives 3 units if they win. Since you were paid $60 for a blackjack win, this implies that the $60 is equivalent to the 3 units payout. Therefore, to find the original bet, we need to calculate what 2 units would be. 
Let x be the original bet. According to the 3:2 payout ratio, $60 represents the 3 units payout. This means that 3 units is equal to $60, so 1 unit is $60 / 3 = $20. Therefore, 2 units, which is the original bet, would be $20 * 2 = $40."
"Haley has 5 more necklaces than Jason. Josh has half the number of necklaces as Jason. If Haley has 25 necklaces, how many more necklaces does Haley have than Josh?",15,15,True,"Given that Haley has 25 necklaces and has 5 more necklaces than Jason, we can deduce that Jason has 25 - 5 = 20 necklaces. 
Since Josh has half the number of necklaces as Jason, Josh has 20 / 2 = 10 necklaces.
Therefore, Haley has 25 - 10 = 15 more necklaces than Josh."
"Shannon bought 5 pints of frozen yogurt, two packs of chewing gum, and five trays of jumbo shrimp from The Food Place for a total of  $55 If the price of a tray of jumbo shrimp is $5 and a pack of chewing gum costs half as much as a pint of frozen yogurt, what is the price of a pint of frozen yogurt?",5,5,True,"Given that Shannon bought 5 pints of frozen yogurt, the total cost of the yogurt is 5 * x, where x is the price of a pint of frozen yogurt. Shannon also bought 5 trays of jumbo shrimp at $5 each, which amounts to 5 * $5 = $25. Additionally, she bought two packs of chewing gum, where each pack costs half as much as a pint of frozen yogurt, so the total cost for the chewing gum is 2 * 0.5x = x. Altogether, the total cost is $55. Therefore, the equation is: 5x + x + $25 = $55. Solving this equation gives us 6x = $30, implying that a pint of frozen yogurt costs $5."
"Codger is a three-footed sloth.  He has a challenging time buying shoes because the stores only sell the shoes in pairs. If he already owns the 3-piece set of shoes he is wearing, how many pairs of shoes does he need to buy to have 5 complete 3-piece sets of shoes?",6,6,True,"To find out how many pairs of shoes Codger needs to buy to have 5 complete 3-piece sets of shoes, we calculate as follows:
Each set consists of 3 shoes, so for 5 complete sets, Codger needs 5 sets * 3 shoes/set = 15 shoes in total. Since he already has 3 shoes, he needs to buy 15 - 3 = 12 additional shoes. As shoes are sold in pairs, Codger needs to buy 12 shoes / 2 = 6 pairs of shoes."
"Each year a store decreased the price of a certain model of TV by $35. If the price in 2001 was $1950, what was the price in 2009?",1670,1670,True,"The correct way to solve this problem is to calculate the total decrease in price from 2001 to 2009, taking into account the $35 decrease each year. Since there are 8 years between 2001 and 2009, the total decrease over this period is $35 * 8 = $280. Subtracting this total decrease from the price in 2001, we find the price in 2009 to be $1950 - $280 = $1670."
Jerome is taking a 150-mile bicycle trip. He wants to ride 12 miles for 12 days. How long will he ride on the 13th day to finish his goal?,6,6,True,"The correct reasoning is as follows: If Jerome rides 12 miles for 12 days, he covers a total of 12 * 12 = 144 miles. To complete his goal of a 150-mile trip, he will need to ride the remaining distance, which is 150 - 144 = 6 miles on the 13th day."
"Joanna has $8. Compared to her money, her brother has thrice as much while her sister has only half as much. How much money do the three of them have altogether?",36,36,True,"To find the total amount of money the three siblings have altogether, we first calculate the amount of money each person has:
- Joanna has $8
- Her brother has thrice as much, so he has 3 * $8 = $24
- Her sister has half as much, so she has 0.5 * $8 = $4

Altogether, the three siblings have $8 + $24 + $4 = $36."
