question,example_answer,pred_answer,answer_exact_match,reasoning
"Vanessa wants to buy a dress she saw at the mall, which costs $80, and she already has $20 in savings. Her parents give her $30 every week, but she also spends $10 each weekend at the arcades. How many weeks will she have to wait until she can gather enough money to buy the dress?",3,3 weeks,False,"Vanessa needs a total of $80 to buy the dress. She currently has $20 in savings, so she needs an additional $80 - $20 = $60. Her parents give her $30 every week, but she spends $10 at the arcades each weekend. Therefore, her net savings per week is $30 - $10 = $20. To find out how many weeks it will take her to save the additional $60, we divide the amount she needs by her net savings per week: $60 / $20 = 3 weeks."
"There are 30 students in the general study hall and twice as many students in the biology hall as there are in the general study hall. If the number of students in the math hall is 3/5 times as many as the combined total number of students in the general study hall and the biology hall combined,  calculate the total number of students in all the halls combined.",144,144,True,"First, we determine the number of students in the biology hall. Since there are 30 students in the general study hall and twice as many in the biology hall, we calculate:

Number of students in the biology hall = 2 * 30 = 60 students.

Next, we find the total number of students in both the general study hall and the biology hall combined:

Total in both halls = 30 (general) + 60 (biology) = 90 students.

Now, we calculate the number of students in the math hall, which is 3/5 of the total number of students in the general and biology halls combined:

Number of students in the math hall = (3/5) * 90 = 54 students.

Finally, we find the total number of students in all the halls combined by adding the number of students in each hall:

Total students = 30 (general) + 60 (biology) + 54 (math) = 144 students."
"Carlos and Diego are racing around the block. Carlos runs around the entire block in 3 minutes. Diego runs around half the block in 2.5 minutes and then is tripped by a dog and can't finish. Assuming he kept up the same speed the entire race, what would've been the average time in seconds for the racers?",240,240 seconds,False,"To find the average time for the racers, we first need to determine the total time each racer would take to complete the race if Diego had not been tripped.

1. **Carlos's time**: Carlos completes the entire block in 3 minutes. 
   - In seconds, this is: 3 minutes * 60 seconds/minute = 180 seconds.

2. **Diego's speed**: Diego runs half the block in 2.5 minutes. 
   - In seconds, this is: 2.5 minutes * 60 seconds/minute = 150 seconds.
   - Therefore, his speed for half the block is: 
     - Distance = 0.5 (half the block)
     - Time = 150 seconds
     - Speed = Distance / Time = 0.5 / 150 = 1/300 blocks per second.

   To find out how long it would take Diego to run the entire block at the same speed:
   - Time for full block = Distance / Speed = 1 / (1/300) = 300 seconds.

3. **Average time**: Now we can find the average time for both racers:
   - Total time = Carlos's time + Diego's time = 180 seconds + 300 seconds = 480 seconds.
   - Average time = Total time / Number of racers = 480 seconds / 2 = 240 seconds."
"A craft store makes a third of its sales in the fabric section, a quarter of its sales in the jewelry section, and the rest in the stationery section. They made 36 sales today. How many sales were in the stationery section?",15,15,True,"To find the number of sales in the stationery section, we first need to determine the sales in the fabric and jewelry sections. 

1. Sales in the fabric section: 
   - A third of the total sales (36) is calculated as:
   \[
   \text{Fabric sales} = \frac{1}{3} \times 36 = 12
   \]

2. Sales in the jewelry section:
   - A quarter of the total sales (36) is calculated as:
   \[
   \text{Jewelry sales} = \frac{1}{4} \times 36 = 9
   \]

3. Now, we can find the sales in the stationery section by subtracting the sales from the fabric and jewelry sections from the total sales:
   \[
   \text{Stationery sales} = \text{Total sales} - (\text{Fabric sales} + \text{Jewelry sales}) = 36 - (12 + 9) = 36 - 21 = 15
   \]

Thus, the number of sales in the stationery section is 15."
"Mark bought 2 pounds of tomatoes for $5 per pound and 5 pounds of apples, at $6 per pound. How much did he spend in total?",40,Mark spent a total of $40.,False,"To find the total amount Mark spent, we need to calculate the cost of the tomatoes and the cost of the apples separately, and then add them together.

1. **Cost of tomatoes**: 
   - Mark bought 2 pounds of tomatoes at $5 per pound.
   - Total cost for tomatoes = 2 pounds * $5/pound = $10.

2. **Cost of apples**: 
   - Mark bought 5 pounds of apples at $6 per pound.
   - Total cost for apples = 5 pounds * $6/pound = $30.

Now, we add the total costs of tomatoes and apples:
Total spent = Cost of tomatoes + Cost of apples = $10 + $30 = $40."
"There is 80 mg of caffeine in a cup of coffee. Lisa does not want to drink more than 200 mg of caffeine per day. If she drinks three cups of coffee, how many milligrams of coffee did Lisa drink over her goal?",40,Lisa drank 40 mg of caffeine over her goal.,False,"Lisa drinks three cups of coffee, and each cup contains 80 mg of caffeine. Therefore, the total amount of caffeine she consumes from three cups is calculated as follows: 

Total caffeine = 3 cups * 80 mg/cup = 240 mg.

Lisa's goal is to not exceed 200 mg of caffeine per day. To find out how much she has gone over her goal, we subtract her goal from the total caffeine consumed:

Amount over goal = Total caffeine - Goal = 240 mg - 200 mg = 40 mg.

Thus, Lisa drank 40 mg of caffeine over her goal."
"A married couple opened a savings account. The wife committed to saving $100 every week while the husband committed to saving $225 every month. After 4 months of savings, they decided to invest half of their money in buying stocks. Each share of stocks costs $50. How many shares of stocks can they buy?",25,25 shares,False,"First, we need to calculate the total savings of both the wife and the husband after 4 months. 

The wife saves $100 every week. In 4 months, there are approximately 4 weeks per month, so:
- Total weeks in 4 months = 4 months * 4 weeks/month = 16 weeks.
- Total savings by the wife = $100/week * 16 weeks = $1600.

The husband saves $225 every month. In 4 months, he saves:
- Total savings by the husband = $225/month * 4 months = $900.

Now, we add both amounts to find the total savings:
- Total savings = $1600 (wife) + $900 (husband) = $2500.

They decided to invest half of their total savings in stocks:
- Amount to invest in stocks = $2500 / 2 = $1250.

Each share of stocks costs $50, so we can find out how many shares they can buy by dividing the amount they are investing by the cost per share:
- Number of shares = $1250 / $50 = 25 shares."
Ms. Hatcher teaches 20 third-graders and a number of fourth-graders that is twice the number of third-graders. Her co-teacher asked her to substitute for her fifth-grade class that has half as many students as the number of third-graders. How many students did Ms. Hatcher teach for the day?,70,Ms. Hatcher taught 70 students for the day.,False,"Ms. Hatcher teaches 20 third-graders. The number of fourth-graders is twice the number of third-graders, so she teaches 2 * 20 = 40 fourth-graders. For the fifth-grade class, the number of students is half the number of third-graders, which is 20 / 2 = 10 fifth-graders. To find the total number of students Ms. Hatcher taught for the day, we add the number of third-graders, fourth-graders, and fifth-graders: 20 + 40 + 10 = 70 students."
Erika and her 3 siblings are drawing with chalk outside. Another 3 friends join them and ask if they can help with the drawing. Erika loses 2 pieces of chalk as they are counting and the group realizes there isn't enough chalk for everyone. Erika’s mom brings out another 12 pieces of chalk for them to share and there is now enough chalk for everyone to have 3 pieces each. How many pieces of chalk did Erika and her siblings originally have?,11,11,True,"Let's break down the problem step by step. 

1. Erika has 3 siblings, so there are 4 children in total (Erika + 3 siblings).
2. When 3 friends join them, the total number of children becomes 4 + 3 = 7.
3. Erika loses 2 pieces of chalk, so we need to account for that loss later.
4. After losing the chalk, Erika's mom brings out 12 more pieces, which means the total number of pieces of chalk they have now is the original amount minus 2 (for the lost pieces) plus 12 (the new pieces from mom).

Let \( x \) be the original number of pieces of chalk that Erika and her siblings had. After losing 2 pieces, they have \( x - 2 \) pieces. After adding the 12 pieces from mom, they have \( x - 2 + 12 = x + 10 \) pieces of chalk.

Since there are 7 children and each child can have 3 pieces of chalk, the total number of pieces of chalk needed is:
\[ 7 \times 3 = 21 \]

Now we can set up the equation:
\[ x + 10 = 21 \]

To find \( x \), we solve the equation:
\[ x = 21 - 10 \]
\[ x = 11 \]

Thus, Erika and her siblings originally had 11 pieces of chalk."
"Bob, Tom, Sally, and Jerry had dinner at their favorite pizzeria. They decide to share 2 pizzas. Bob ate half of a pizza on his own. Tom ate one-third of a pizza. Sally wasn't very hungry and only ate one-sixth of a pizza, and Jerry ate a quarter of a pizza. If each pizza is cut into 12 slices, how many slices were left over?",9,9 slices,False,"First, we need to determine how much pizza each person ate in terms of slices. Each pizza has 12 slices, so:

- Bob ate half a pizza: \( \frac{1}{2} \times 12 = 6 \) slices.
- Tom ate one-third of a pizza: \( \frac{1}{3} \times 12 = 4 \) slices.
- Sally ate one-sixth of a pizza: \( \frac{1}{6} \times 12 = 2 \) slices.
- Jerry ate a quarter of a pizza: \( \frac{1}{4} \times 12 = 3 \) slices.

Now, we can add up the total number of slices eaten by all four:

Total slices eaten = Bob's slices + Tom's slices + Sally's slices + Jerry's slices
= \( 6 + 4 + 2 + 3 = 15 \) slices.

Since they shared 2 pizzas, the total number of slices available is:

Total slices available = \( 2 \times 12 = 24 \) slices.

To find the number of slices left over, we subtract the total slices eaten from the total slices available:

Slices left over = Total slices available - Total slices eaten
= \( 24 - 15 = 9 \) slices."
