question,example_answer,pred_answer,answer_exact_match
"Vanessa wants to buy a dress she saw at the mall, which costs $80, and she already has $20 in savings. Her parents give her $30 every week, but she also spends $10 each weekend at the arcades. How many weeks will she have to wait until she can gather enough money to buy the dress?",3,"Vanessa needs a total of $80 for the dress. She currently has $20 in savings, so she needs an additional $80 - $20 = $60. 

Her parents give her $30 every week, but she spends $10 at the arcades each weekend. Therefore, her net savings per week is $30 - $10 = $20.

To find out how many weeks it will take her to save the additional $60, we divide the amount she needs by her net savings per week: 

$60 ÷ $20/week = 3 weeks.

So, Vanessa will have to wait 3 weeks to gather enough money to buy the dress.",False
"There are 30 students in the general study hall and twice as many students in the biology hall as there are in the general study hall. If the number of students in the math hall is 3/5 times as many as the combined total number of students in the general study hall and the biology hall combined,  calculate the total number of students in all the halls combined.",144,"To find the total number of students in all the halls combined, we can break it down step by step.

1. **Students in the general study hall**: 30 students.
2. **Students in the biology hall**: Since there are twice as many students in the biology hall as in the general study hall, we have:
   \[
   \text{Students in biology hall} = 2 \times 30 = 60 \text{ students}
   \]
3. **Combined total of students in the general and biology halls**:
   \[
   \text{Total in general and biology halls} = 30 + 60 = 90 \text{ students}
   \]
4. **Students in the math hall**: The number of students in the math hall is \( \frac{3}{5} \) of the combined total of the general and biology halls:
   \[
   \text{Students in math hall} = \frac{3}{5} \times 90 = 54 \text{ students}
   \]
5. **Total number of students in all halls combined**:
   \[
   \text{Total} = 30 + 60 + 54 = 144 \text{ students}
   \]

Thus, the total number of students in all the halls combined is 144.",False
"Carlos and Diego are racing around the block. Carlos runs around the entire block in 3 minutes. Diego runs around half the block in 2.5 minutes and then is tripped by a dog and can't finish. Assuming he kept up the same speed the entire race, what would've been the average time in seconds for the racers?",240,"To find the average time for the racers, we first need to determine their speeds and then calculate the time it would take for each to complete the full race.

1. **Carlos's Speed**:
   - Carlos runs around the entire block in 3 minutes.
   - Speed = Distance / Time = 1 block / 3 minutes = 1/3 blocks per minute.

2. **Diego's Speed**:
   - Diego runs half the block in 2.5 minutes.
   - Speed = Distance / Time = 0.5 blocks / 2.5 minutes = 0.2 blocks per minute.
   - If Diego had continued at this speed for the full block, it would take him:
     - Time = Distance / Speed = 1 block / 0.2 blocks per minute = 5 minutes.

Now we have the total times for both racers:
- Carlos: 3 minutes
- Diego: 5 minutes

3. **Average Time**:
   - Average time = (Time of Carlos + Time of Diego) / 2
   - Average time = (3 minutes + 5 minutes) / 2 = 8 minutes / 2 = 4 minutes.

4. **Convert to Seconds**:
   - 4 minutes = 4 * 60 seconds = 240 seconds.

Thus, the average time for the racers would have been 240 seconds.",False
"A craft store makes a third of its sales in the fabric section, a quarter of its sales in the jewelry section, and the rest in the stationery section. They made 36 sales today. How many sales were in the stationery section?",15,"To find the number of sales in the stationery section, we first need to calculate the sales in the fabric and jewelry sections.

1. Sales in the fabric section: 
   \(\frac{1}{3} \times 36 = 12\)

2. Sales in the jewelry section: 
   \(\frac{1}{4} \times 36 = 9\)

Now, we can find the total sales in the fabric and jewelry sections:
\(12 + 9 = 21\)

Finally, we subtract this from the total sales to find the sales in the stationery section:
\(36 - 21 = 15\)

Therefore, the number of sales in the stationery section is 15.",False
"Mark bought 2 pounds of tomatoes for $5 per pound and 5 pounds of apples, at $6 per pound. How much did he spend in total?",40,"Mark spent a total of $10 on tomatoes (2 pounds x $5 per pound) and $30 on apples (5 pounds x $6 per pound). Therefore, his total expenditure is $10 + $30 = $40.",False
"There is 80 mg of caffeine in a cup of coffee. Lisa does not want to drink more than 200 mg of caffeine per day. If she drinks three cups of coffee, how many milligrams of coffee did Lisa drink over her goal?",40,"Lisa drinks 3 cups of coffee, which is 3 cups * 80 mg/cup = 240 mg of caffeine. Since she does not want to exceed 200 mg, she goes over her goal by 240 mg - 200 mg = 40 mg.",False
"A married couple opened a savings account. The wife committed to saving $100 every week while the husband committed to saving $225 every month. After 4 months of savings, they decided to invest half of their money in buying stocks. Each share of stocks costs $50. How many shares of stocks can they buy?",25,"After 4 months, the wife saves $100 per week. In 4 months, there are approximately 16 weeks (4 weeks per month). Therefore, the wife saves:
$100 * 16 = $1,600.

The husband saves $225 per month. In 4 months, he saves:
$225 * 4 = $900.

Together, they have saved:
$1,600 + $900 = $2,500.

They decide to invest half of their savings in stocks:
$2,500 / 2 = $1,250.

Each share of stocks costs $50, so the number of shares they can buy is:
$1,250 / $50 = 25 shares.

Thus, they can buy 25 shares of stocks.",False
Ms. Hatcher teaches 20 third-graders and a number of fourth-graders that is twice the number of third-graders. Her co-teacher asked her to substitute for her fifth-grade class that has half as many students as the number of third-graders. How many students did Ms. Hatcher teach for the day?,70,"Ms. Hatcher teaches 20 third-graders. The number of fourth-graders is twice that, so she teaches 2 * 20 = 40 fourth-graders. The fifth-grade class has half as many students as the third-graders, which is 20 / 2 = 10 students. Therefore, the total number of students Ms. Hatcher taught for the day is 20 (third-graders) + 40 (fourth-graders) + 10 (fifth-graders) = 70 students.",False
Erika and her 3 siblings are drawing with chalk outside. Another 3 friends join them and ask if they can help with the drawing. Erika loses 2 pieces of chalk as they are counting and the group realizes there isn't enough chalk for everyone. Erika’s mom brings out another 12 pieces of chalk for them to share and there is now enough chalk for everyone to have 3 pieces each. How many pieces of chalk did Erika and her siblings originally have?,11,"Erika and her 3 siblings have 4 members in total. With 3 friends joining them, the total number of children becomes 4 + 3 = 7. Each child needs 3 pieces of chalk, so they need a total of 7 * 3 = 21 pieces of chalk. Since Erika lost 2 pieces of chalk, the total number of pieces they originally had before her mom brought out the additional 12 pieces is 21 - 12 = 9 pieces. Adding back the 2 pieces Erika lost, they originally had 9 + 2 = 11 pieces of chalk.

Therefore, Erika and her siblings originally had 11 pieces of chalk.",False
"Bob, Tom, Sally, and Jerry had dinner at their favorite pizzeria. They decide to share 2 pizzas. Bob ate half of a pizza on his own. Tom ate one-third of a pizza. Sally wasn't very hungry and only ate one-sixth of a pizza, and Jerry ate a quarter of a pizza. If each pizza is cut into 12 slices, how many slices were left over?",9,"To find out how many slices were left over, we first need to calculate how much pizza was consumed by each person and then determine how much pizza was left.

1. **Total amount of pizza consumed:**
   - Bob ate half of a pizza: \( \frac{1}{2} \)
   - Tom ate one-third of a pizza: \( \frac{1}{3} \)
   - Sally ate one-sixth of a pizza: \( \frac{1}{6} \)
   - Jerry ate a quarter of a pizza: \( \frac{1}{4} \)

   To add these fractions, we need a common denominator. The least common multiple of 2, 3, 6, and 4 is 12.

   - Bob: \( \frac{1}{2} = \frac{6}{12} \)
   - Tom: \( \frac{1}{3} = \frac{4}{12} \)
   - Sally: \( \frac{1}{6} = \frac{2}{12} \)
   - Jerry: \( \frac{1}{4} = \frac{3}{12} \)

   Now, we can add them together:
   \[
   \frac{6}{12} + \frac{4}{12} + \frac{2}{12} + \frac{3}{12} = \frac{15}{12}
   \]

   This means they consumed \( \frac{15}{12} \) pizzas in total.

2. **Total amount of pizza available:**
   They shared 2 pizzas, which is equivalent to \( \frac{24}{12} \) slices.

3. **Calculating leftover pizza:**
   The amount of pizza left over is:
   \[
   \frac{24}{12} - \frac{15}{12} = \frac{9}{12} = \frac{3}{4}
   \]

   Since each pizza is cut into 12 slices, \( \frac{3}{4} \) of a pizza is:
   \[
   \frac{3}{4} \times 12 = 9 \text{ slices}
   \]

Thus, the number of slices left over is 9.",False
